INFO  - 2014-06-12 17:11:32.456; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-06-12 17:11:32.457; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/dist/solr-langid-4.8.1.jar' to classloader
INFO  - 2014-06-12 17:11:32.459; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-06-12 17:11:32.459; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-06-12 17:11:32.460; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-06-12 17:11:32.460; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-06-12 17:11:32.462; org.apache.solr.core.SolrResourceLoader; Adding 'file:/u/data/u88/du25/summer_research/solr-4.8.1/dist/solr-velocity-4.8.1.jar' to classloader
INFO  - 2014-06-12 17:11:32.653; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-06-12 17:11:32.660; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_48
INFO  - 2014-06-12 17:11:32.810; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-06-12 17:11:32.819; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-06-12 17:11:32.913; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
WARN  - 2014-06-12 17:11:33.066; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.IntField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-12 17:11:33.072; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.LongField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-12 17:11:33.078; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.FloatField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-12 17:11:33.084; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DoubleField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-12 17:11:33.090; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DateField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-12 17:11:33.798; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.ThaiWordFilterFactory]. Please consult documentation how to replace it accordingly.
INFO  - 2014-06-12 17:11:33.844; org.apache.solr.schema.IndexSchema; unique key field: id
